class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21
light on,0.8059784770011902,0.7280927896499634,3.3373407859471627e-07,0.0,0.7600919008255005,0.6965228915214539,-0.04681076854467392,0.0,0.7419866323471069,0.6224411725997925,-0.0558268167078495,0.0,0.791511595249176,0.5517070889472961,-0.05566062033176422,0.0,0.8395560383796692,0.5064502954483032,-0.05265913903713226,0.0,0.7092376947402954,0.4820204973220825,-0.016639331355690956,0.0,0.676285982131958,0.3854326009750366,-0.026926035061478615,0.0,0.6585359573364258,0.32020583748817444,-0.03928148001432419,0.0,0.6458950042724609,0.26530805230140686,-0.04881337285041809,0.0,0.7575399279594421,0.46526771783828735,-0.00891820527613163,0.0,0.7433109283447266,0.3550764322280884,-0.009158636443316936,0.0,0.7354185581207275,0.28333407640457153,-0.01644768938422203,0.0,0.7274529337882996,0.22316443920135498,-0.02202918380498886,0.0,0.7996788620948792,0.478007435798645,-0.008909144438803196,0.0,0.8030699491500854,0.37363892793655396,-0.02957461029291153,0.0,0.7993444204330444,0.3084774613380432,-0.054618410766124725,0.0,0.7918882369995117,0.2442496418952942,-0.07025472074747086,0.0,0.8428879976272583,0.5182082056999207,-0.012259739451110363,0.0,0.8532967567443848,0.45533087849617004,-0.03835854306817055,0.0,0.8497197031974792,0.4885093569755554,-0.04493996873497963,0.0,0.8418094515800476,0.5317744016647339,-0.04644051566720009,0.0
light on,0.7899346351623535,0.7370933294296265,4.2302986003051046e-07,0.0,0.7492414116859436,0.7012353539466858,-0.04638925939798355,0.0,0.7362589240074158,0.6197823882102966,-0.05661819502711296,0.0,0.7915132641792297,0.5497749447822571,-0.058742571622133255,0.0,0.8390365242958069,0.5059285759925842,-0.05949754640460014,0.0,0.7071754932403564,0.48471152782440186,-0.026091698557138443,0.0,0.6750823855400085,0.38596224784851074,-0.03781190887093544,0.0,0.6588119268417358,0.32230180501937866,-0.049883533269166946,0.0,0.6451057195663452,0.26895618438720703,-0.06008933484554291,0.0,0.7536027431488037,0.46357375383377075,-0.020478496327996254,0.0,0.7397994995117188,0.3503309190273285,-0.023460812866687775,0.0,0.7335069179534912,0.2821075916290283,-0.03409227356314659,0.0,0.7247910499572754,0.22663310170173645,-0.04384443908929825,0.0,0.7932934165000916,0.4748489558696747,-0.021686632186174393,0.0,0.8000649809837341,0.3750841021537781,-0.039435990154743195,0.0,0.797946572303772,0.3121984004974365,-0.06539049744606018,0.0,0.7887994647026062,0.2523405849933624,-0.0847739651799202,0.0,0.8334765434265137,0.5128165483474731,-0.026799585670232773,0.0,0.8464857339859009,0.45317941904067993,-0.05039060115814209,0.0,0.8410332798957825,0.48402976989746094,-0.05957882106304169,0.0,0.8282726407051086,0.5247033834457397,-0.0658888891339302,0.0
light on,0.7866665124893188,0.7389082908630371,3.810332032117003e-07,0.0,0.7469238638877869,0.6995187401771545,-0.048287663608789444,0.0,0.7336571216583252,0.620124340057373,-0.06016935035586357,0.0,0.7885268330574036,0.5527925491333008,-0.06398563086986542,0.0,0.8355689644813538,0.5094743371009827,-0.06568273156881332,0.0,0.707001805305481,0.48003390431404114,-0.024883529171347618,0.0,0.675268292427063,0.38221001625061035,-0.03731660544872284,0.0,0.6596275568008423,0.32091224193573,-0.050586383789777756,0.0,0.6476334929466248,0.26909691095352173,-0.06178022548556328,0.0,0.7536933422088623,0.46008649468421936,-0.018103642389178276,0.0,0.7390757203102112,0.3482567071914673,-0.02153838984668255,0.0,0.7319896221160889,0.2811306118965149,-0.03272251784801483,0.0,0.7226892709732056,0.22666257619857788,-0.043089769780635834,0.0,0.7937921285629272,0.47404879331588745,-0.01860385201871395,0.0,0.7995919585227966,0.377403199672699,-0.03611692041158676,0.0,0.7979171276092529,0.31409329175949097,-0.062263183295726776,0.0,0.7886481881141663,0.25434017181396484,-0.08194668591022491,0.0,0.8336504101753235,0.5146819949150085,-0.023356765508651733,0.0,0.8480730056762695,0.4563141167163849,-0.046327121555805206,0.0,0.8415501117706299,0.480425626039505,-0.05650394782423973,0.0,0.8264148235321045,0.5147820115089417,-0.06379682570695877,0.0
light on,0.7878329157829285,0.7374836206436157,3.7298860888768104e-07,0.0,0.7472632527351379,0.6965749859809875,-0.05049808323383331,0.0,0.7334118485450745,0.6170181035995483,-0.06131204962730408,0.0,0.789055347442627,0.5501164197921753,-0.06324417144060135,0.0,0.8375230431556702,0.5080024600028992,-0.06242445856332779,0.0,0.7076557874679565,0.4765777587890625,-0.02272745594382286,0.0,0.6760917901992798,0.3800095021724701,-0.033830467611551285,0.0,0.6604627370834351,0.3191794157028198,-0.0463143028318882,0.0,0.648486852645874,0.2678358554840088,-0.05697097256779671,0.0,0.7548747658729553,0.45797762274742126,-0.014194006100296974,0.0,0.7406445145606995,0.3469477891921997,-0.016857950016856194,0.0,0.7341091632843018,0.2807794213294983,-0.027350863441824913,0.0,0.7252768278121948,0.2278253138065338,-0.03702731430530548,0.0,0.7951132655143738,0.47244754433631897,-0.013488518074154854,0.0,0.8014823198318481,0.3774750828742981,-0.03084714524447918,0.0,0.8002439737319946,0.3150215148925781,-0.0571209192276001,0.0,0.7911220788955688,0.255222350358963,-0.07651696354150772,0.0,0.8350027799606323,0.5130946040153503,-0.017255792394280434,0.0,0.8479537963867188,0.45475566387176514,-0.039318665862083435,0.0,0.8409401774406433,0.47999078035354614,-0.049012426286935806,0.0,0.8256210088729858,0.5153611302375793,-0.05600501596927643,0.0
light on,0.7881860733032227,0.7375674843788147,3.772387344724848e-07,0.0,0.7474414706230164,0.6962176561355591,-0.050338566303253174,0.0,0.7339661717414856,0.6165487766265869,-0.06113750860095024,0.0,0.7895216345787048,0.5489681363105774,-0.06317055225372314,0.0,0.8375982642173767,0.506296694278717,-0.062479168176651,0.0,0.7073894739151001,0.4758835434913635,-0.021883517503738403,0.0,0.6756063103675842,0.37859559059143066,-0.032899726182222366,0.0,0.6600341200828552,0.3172476887702942,-0.045328449457883835,0.0,0.6482336521148682,0.26572489738464355,-0.05593470111489296,0.0,0.7545612454414368,0.45726341009140015,-0.013309423811733723,0.0,0.7405883073806763,0.34602653980255127,-0.016082482412457466,0.0,0.7342645525932312,0.27983537316322327,-0.026637563481926918,0.0,0.7256575226783752,0.2271321713924408,-0.036252617835998535,0.0,0.7949813008308411,0.4716089367866516,-0.01256711408495903,0.0,0.8012769222259521,0.37669724225997925,-0.02994152344763279,0.0,0.8000426888465881,0.3143201768398285,-0.05601382255554199,0.0,0.7913210988044739,0.2546641528606415,-0.07521338015794754,0.0,0.8349242210388184,0.5121257305145264,-0.016299685463309288,0.0,0.8476501107215881,0.4531441032886505,-0.03858870267868042,0.0,0.8406261205673218,0.4788628816604614,-0.04829762130975723,0.0,0.8259129524230957,0.5143516659736633,-0.05516393855214119,0.0
light on,0.7860165238380432,0.7405341863632202,3.5266248232801445e-07,0.0,0.7441250681877136,0.7043291926383972,-0.04940612614154816,0.0,0.7275383472442627,0.6241970062255859,-0.05943076312541962,0.0,0.7811718583106995,0.5550315380096436,-0.06099271401762962,0.0,0.8281509876251221,0.509830892086029,-0.059725821018218994,0.0,0.6996920108795166,0.4838274419307709,-0.02069881744682789,0.0,0.6677547693252563,0.38651108741760254,-0.031688984483480453,0.0,0.6519546508789062,0.32484346628189087,-0.04397973790764809,0.0,0.6400741934776306,0.2738059163093567,-0.05452553182840347,0.0,0.746266782283783,0.4636179208755493,-0.012846749275922775,0.0,0.7319382429122925,0.35071951150894165,-0.01562599651515484,0.0,0.7265571355819702,0.28411978483200073,-0.026311004534363747,0.0,0.7190775275230408,0.22935819625854492,-0.03604937717318535,0.0,0.7865681052207947,0.4751932621002197,-0.01283101737499237,0.0,0.7900691032409668,0.37773221731185913,-0.030276602134108543,0.0,0.788645327091217,0.31540626287460327,-0.056260451674461365,0.0,0.7796899080276489,0.25460895895957947,-0.07554596662521362,0.0,0.8277797698974609,0.5138416886329651,-0.017272338271141052,0.0,0.83982253074646,0.45366671681404114,-0.03960203751921654,0.0,0.835149884223938,0.48127561807632446,-0.04919469356536865,0.0,0.8228239417076111,0.519097089767456,-0.05599990487098694,0.0
light on,0.7831437587738037,0.7412530183792114,3.7693956755902036e-07,0.0,0.7424882054328918,0.702643871307373,-0.04938877746462822,0.0,0.7279161810874939,0.6231277585029602,-0.06070009991526604,0.0,0.7816252112388611,0.5549814105033875,-0.06355040520429611,0.0,0.8282926082611084,0.510712206363678,-0.06391356885433197,0.0,0.6998095512390137,0.4841451048851013,-0.02415408380329609,0.0,0.6660376191139221,0.386501669883728,-0.036482978612184525,0.0,0.649811327457428,0.32448112964630127,-0.04938902705907822,0.0,0.6375444531440735,0.27230799198150635,-0.060077518224716187,0.0,0.7461285591125488,0.4638923108577728,-0.01692970283329487,0.0,0.7301452159881592,0.350370317697525,-0.02058197185397148,0.0,0.7228876352310181,0.28287383913993835,-0.03163013607263565,0.0,0.713374674320221,0.22847628593444824,-0.041666656732559204,0.0,0.7858455777168274,0.47641485929489136,-0.01731027290225029,0.0,0.7913721799850464,0.37865546345710754,-0.03583328053355217,0.0,0.7888407707214355,0.3153758645057678,-0.0625777468085289,0.0,0.7785012722015381,0.25577229261398315,-0.08226368576288223,0.0,0.8260847926139832,0.5152838230133057,-0.02195468358695507,0.0,0.8377780914306641,0.455182284116745,-0.044854216277599335,0.0,0.8322624564170837,0.48275503516197205,-0.05442523583769798,0.0,0.8191401362419128,0.5215578675270081,-0.061251506209373474,0.0
light on,0.782295823097229,0.740511417388916,3.834355197795958e-07,0.0,0.7407953143119812,0.7024683356285095,-0.053137753158807755,0.0,0.7258967161178589,0.6241313219070435,-0.06542078405618668,0.0,0.7801811099052429,0.5560302734375,-0.06825248152017593,0.0,0.8266916275024414,0.5105592608451843,-0.06804907321929932,0.0,0.6984500288963318,0.4820955991744995,-0.026324529200792313,0.0,0.6662794947624207,0.3857191801071167,-0.03799805790185928,0.0,0.6509573459625244,0.3246164917945862,-0.050569310784339905,0.0,0.6395702362060547,0.27318310737609863,-0.06121183931827545,0.0,0.7455162405967712,0.4626343846321106,-0.016687721014022827,0.0,0.7299241423606873,0.3512321710586548,-0.019234810024499893,0.0,0.7231737375259399,0.28488290309906006,-0.029344946146011353,0.0,0.7140887379646301,0.23174479603767395,-0.03905364125967026,0.0,0.7855385541915894,0.4760867953300476,-0.015095984563231468,0.0,0.7909749150276184,0.3810700476169586,-0.03253742307424545,0.0,0.7897720336914062,0.318487286567688,-0.058987975120544434,0.0,0.779903769493103,0.25872763991355896,-0.07878383249044418,0.0,0.8255227208137512,0.5152338743209839,-0.018206827342510223,0.0,0.8384476900100708,0.4565446674823761,-0.04055227339267731,0.0,0.8330664038658142,0.48137804865837097,-0.05090029910206795,0.0,0.818465530872345,0.5164906978607178,-0.058563102036714554,0.0
light on,0.7810980677604675,0.7379114031791687,3.9087447589736257e-07,0.0,0.7403801083564758,0.6980445384979248,-0.051531415432691574,0.0,0.7265163660049438,0.6180742383003235,-0.06298784911632538,0.0,0.7807669043540955,0.5506698489189148,-0.06537678837776184,0.0,0.8274461627006531,0.5077008008956909,-0.06487033516168594,0.0,0.6981832981109619,0.4810362756252289,-0.024489738047122955,0.0,0.6661480665206909,0.38424503803253174,-0.035808537155389786,0.0,0.6507666110992432,0.3234260082244873,-0.04819497466087341,0.0,0.6389992237091064,0.2722318172454834,-0.05867166444659233,0.0,0.7444276213645935,0.46151670813560486,-0.015388875268399715,0.0,0.7295750379562378,0.350484162569046,-0.017835408449172974,0.0,0.7228971719741821,0.2842392921447754,-0.02831212803721428,0.0,0.7136769890785217,0.23117300868034363,-0.03818141669034958,0.0,0.7841463685035706,0.4745830297470093,-0.01411877479404211,0.0,0.7894147634506226,0.38023364543914795,-0.031148014590144157,0.0,0.7886355519294739,0.31811079382896423,-0.05744887515902519,0.0,0.7795210480690002,0.25933408737182617,-0.0770857110619545,0.0,0.8239181637763977,0.5126542448997498,-0.01741943508386612,0.0,0.8362758755683899,0.4548460841178894,-0.03934551402926445,0.0,0.8315061926841736,0.4795893728733063,-0.04931410029530525,0.0,0.81842041015625,0.5147613883018494,-0.05657454580068588,0.0
light on,0.7670039534568787,0.7309972643852234,3.745637116026046e-07,0.0,0.727920413017273,0.6944892406463623,-0.048145841807127,0.0,0.7137352824211121,0.617081880569458,-0.061345115303993225,0.0,0.7612643241882324,0.5487171411514282,-0.06706134229898453,0.0,0.8048276305198669,0.5030537843704224,-0.07053442299365997,0.0,0.6865081191062927,0.48334306478500366,-0.024689815938472748,0.0,0.6579701900482178,0.3887277841567993,-0.03677108511328697,0.0,0.6438975930213928,0.3282545804977417,-0.04925424978137016,0.0,0.6325455904006958,0.278128445148468,-0.06031334027647972,0.0,0.7306402325630188,0.4633522927761078,-0.0176700446754694,0.0,0.717731237411499,0.3556557297706604,-0.022287530824542046,0.0,0.7135844230651855,0.29261255264282227,-0.03364647924900055,0.0,0.7063921689987183,0.23997491598129272,-0.04424567520618439,0.0,0.7694606781005859,0.47427159547805786,-0.017706405371427536,0.0,0.775109052658081,0.3816891014575958,-0.035454161465168,0.0,0.774129331111908,0.32186099886894226,-0.05994125455617905,0.0,0.7656023502349854,0.2654522657394409,-0.07887952774763107,0.0,0.8084033131599426,0.5099313259124756,-0.022038498893380165,0.0,0.8207310438156128,0.456338107585907,-0.04501979798078537,0.0,0.8154380321502686,0.48213958740234375,-0.0551847480237484,0.0,0.803097128868103,0.5158644318580627,-0.06267181783914566,0.0
